,pubmedname,twitterhandle,handlename,descrip,location,follower,friend
57,Bob+Phillips,@FMresearchplcy,Bob Phillips,"VP for Research & Policy @ American Board of Family Medicine                                               Professor of Family Medicine, Georgetown University",United States,522,449
61,Bob+Siegerink,@BobSiegerink,bob siegerink,"Clinical epidemiologist with lab training. Interested in Quality and Integrity of science, methods, stroke, and hemostasis. 

ORCID: https://t.co/HQQurrwreZ…","Leiden, the Netherlands",1216,2318
356,Bogdan+Tudor+Tulbure,@BogdanTTulbure,Bogdan Tudor Tulbure,"Associate Professor at West University of Timisoara, Psychology Department","Timişoara, România",15,204
375,Bogdan+Draganski,@BogdanDraganski,Bogdan Draganski,Clinical neuroscientist working on brain plasticity in health and disease. Head of neuroimaging lab LREN.,University Lausanne,622,589
580,Bok+Yun+Kang,@yangyunkang,"Yunkang Yang, PhD","Post-doctoral Research Scientist @GWIDDP and @SMPAGWU. I study US right-wing media, disinformation, and digital media.",Washington DC,142,291
595,Bokai+Zhu,@LabZhu,Bokai Zhu lab,"The Zhu lab studies the moon/tide-related 12h mammalian ultradian clock; xbp1, proteostasis, epigenetic, metabolism, aging are the key words. @AgingPitt","Aging Institute, Divison of Endocrinology and Metabolism, Department of Medicine,Univeristy of Pittsburgh School of Medicine  ",257,436
736,Bon+D.+Ku,@BonKu,"Bon Ku, MD, MPP","Emergency doc | Director, Health Design Lab @JeffersonUniv | Co-author #HealthDesignThinking | Host of @DesignLabPod | https://t.co/s784vKii8P",Philadelphia,9682,613
737,Bon+Jeong+Ku,@BonKu,"Bon Ku, MD, MPP","Emergency doc | Director, Health Design Lab @JeffersonUniv | Co-author #HealthDesignThinking | Host of @DesignLabPod | https://t.co/s784vKii8P",Philadelphia,9682,613
902,Bongani+B.+Nkambule,@Nkambuleb,Bongani Nkambule,"Research Fellow @ The Framingham Heart Study🇺🇸. Associate Professor @ UKZN🇿🇦.
Struggling Entrepreneur🌪🌍","Boston, MA",74,129
917,Bongjun+Kim,@iambongjun,Bongjun Kim,"AI researcher, 3M AI Lab | ML, Audio, Interactive intelligent system | Ph.D in CS from Northwestern Univ.","Chicago, IL",60,140
1011,Bonnie+L+Hurwitz,@hurwitzlab,Bonnie Hurwitz,"Associate Professor at University of Arizona and #phage hunter that loves #microbes, #metagenomics, #HPC computing, #cyberinfrastructure and #bigdata","Tucson, AZ",848,437
1019,Bonnie+Alexander,@BonnieAlexandr,Bonnie Alexander,"Neurosurgery Clinical Imaging Research Officer at Royal Children's Hospital, Melbourne. She/They. 🏳️‍🌈","Melbourne, Australia",243,271
1028,Bonnie+Berger,@lab_berger,Bonnie Berger Lab,The Berger lab at @MIT_CSAIL works on a diverse set of problems in computational biology. Account run by lab members.,MIT,144,3
1053,Bonnie+Stevens,@stevensb25,Bonnie Stevens,I am a professor at UofT and a researcher at Sick Kids. I am passionate about decreasing pain in infants and finding ways of translating research to practice.,"Toronto, Ontario",147,38
1085,Bonny+L.+Dickinson,@BonnyDickinson,"Bonny L. Dickinson, PhD",Professor and Vice-Chair Biomedical Sciences at Western Michigan University Homer Stryker MD School of Medicine,"Kalamazoo, MI",89,61
1086,Bontha+V.+Babu,@BabuBontha_ICMR,Bontha Babu,"Head Scientist :: Socio-Behavioural & Health Systems Research @ Indian Council of Medical Research, New Delhi",,15,21
1244,Bora+Gurel,@boragurel,Bora Gurel,"Microscope Jockey, Connoisseur of Formalin. Specializing in Uropathology. Clinician Scientist working in the De Bono lab @ICR_london #HerŞeyÇokGüzelOldu","Sutton, London",515,1998
1284,Bora+Uyar,@borauyar,Bora Uyar,"Bioinformatics Scientist at Max Delbruck Center for Molecular Medicine @MDC_Berlin, @BIMSB_MDC, @arcas_ai. 
alumnus of @embl, @SFU, @sabanciu","Berlin, Germany",387,1049
